"";"exercicio";"instituicao";"cod_ibge";"uf";"anexo";"rotulo";"coluna";"cod_conta";"conta";"valor";"populacao";"cod_interno"
"1";2018;"Prefeitura Municipal de Alta Floresta D'Oeste - RO";1100015;"RO";"DCA-Anexo I-E";"Total Geral da Despesa por Função";"Despesas Empenhadas";"TotalDespesas";"17 - Saneamento";143713,98;25506;"17"
"2";2018;"Prefeitura Municipal de Alta Floresta D'Oeste - RO";1100015;"RO";"DCA-Anexo I-E";"Total Geral da Despesa por Função";"Despesas Liquidadas";"TotalDespesas";"17 - Saneamento";133143,98;25506;"17"
"3";2018;"Prefeitura Municipal de Alta Floresta D'Oeste - RO";1100015;"RO";"DCA-Anexo I-E";"Total Geral da Despesa por Função";"Despesas Pagas";"TotalDespesas";"17 - Saneamento";133143,98;25506;"17"
"4";2018;"Prefeitura Municipal de Alta Floresta D'Oeste - RO";1100015;"RO";"DCA-Anexo I-E";"Total Geral da Despesa por Função";"Inscrição de Restos a Pagar Não Processados";"TotalDespesas";"17 - Saneamento";10570;25506;"17"
"5";2018;"Prefeitura Municipal de Alto Alegre dos Parecis - RO";1100379;"RO";"DCA-Anexo I-E";"Total Geral da Despesa por Função";"Despesas Empenhadas";"TotalDespesas";"17 - Saneamento";322003,87;13993;"17"
"6";2018;"Prefeitura Municipal de Alto Alegre dos Parecis - RO";1100379;"RO";"DCA-Anexo I-E";"Total Geral da Despesa por Função";"Despesas Liquidadas";"TotalDespesas";"17 - Saneamento";285042,57;13993;"17"
"7";2018;"Prefeitura Municipal de Alto Alegre dos Parecis - RO";1100379;"RO";"DCA-Anexo I-E";"Total Geral da Despesa por Função";"Despesas Pagas";"TotalDespesas";"17 - Saneamento";265821,75;13993;"17"
"8";2018;"Prefeitura Municipal de Alto Alegre dos Parecis - RO";1100379;"RO";"DCA-Anexo I-E";"Total Geral da Despesa por Função";"Inscrição de Restos a Pagar Não Processados";"TotalDespesas";"17 - Saneamento";36961,3;13993;"17"
"9";2018;"Prefeitura Municipal de Alto Alegre dos Parecis - RO";1100379;"RO";"DCA-Anexo I-E";"Total Geral da Despesa por Função";"Inscrição de Restos a Pagar Processados";"TotalDespesas";"17 - Saneamento";19220,82;13993;"17"
"10";2018;"Prefeitura Municipal de Alvorada D'Oeste - RO";1100346;"RO";"DCA-Anexo I-E";"Total Geral da Despesa por Função";"Despesas Empenhadas";"TotalDespesas";"17 - Saneamento";1692852,56;16747;"17"
